ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
001,0,Gazelle,Short,Right,high,1,2.0492445,ATT,f,18,59,47,1,4,1,0
001,0,Kangaroo,Long,Left,high,1,2.6344091,ATT,f,18,59,47,1,4,1,0
001,0,Gazelle,Short,Right,low,1,1.8888897,ATT,f,18,59,47,1,4,1,0
001,0,Bull,Long,Left,medium,0,1.6050974,ATT,f,18,59,47,1,4,1,0
001,0,Horse,Long,Right,low,1,3.3546744,ATT,f,18,59,47,1,4,1,0
001,0,Jaguar,Long,Left,low,1,1.483639,ATT,f,18,59,47,1,4,1,0
001,0,Bear,Short,Left,medium,1,1.4144167,ATT,f,18,59,47,1,4,1,0
001,0,Wolf,Long,Right,high,0,1.4185316,ATT,f,18,59,47,1,4,1,0
001,0,Goat,Short,Left,low,1,4.7297957,ATT,f,18,59,47,1,4,1,0
001,0,Giraffe,Long,Left,low,0,4.1304005,ATT,f,18,59,47,1,4,1,0
001,0,Goat,Short,Left,medium,1,2.9545818,ATT,f,18,59,47,1,4,1,0
001,0,Deer,Short,Left,medium,1,1.1826182,ATT,f,18,59,47,1,4,1,0
001,0,Chameleon,Long,Right,low,1,2.2449027,ATT,f,18,59,47,1,4,1,0
001,0,Pig,Short,Right,low,1,1.0333774,ATT,f,18,59,47,1,4,1,0
001,0,Hippo,Short,Left,high,1,1.4898103,ATT,f,18,59,47,1,4,1,0
001,0,Chameleon,Long,Right,medium,1,1.2482933,ATT,f,18,59,47,1,4,1,0
001,0,Fox,Long,Right,medium,1,0.9191685,ATT,f,18,59,47,1,4,1,0
001,0,Lamb,Short,Right,low,1,2.3316069,ATT,f,18,59,47,1,4,1,0
001,0,Monkey,Long,Left,high,1,1.3238527,ATT,f,18,59,47,1,4,1,0
001,0,Crow,Long,Left,medium,0,2.2034621,ATT,f,18,59,47,1,4,1,0
001,0,Mole,Short,Right,medium,1,1.9558284,ATT,f,18,59,47,1,4,1,0
001,0,Sheep,Short,Right,low,0,4.249385,ATT,f,18,59,47,1,4,1,0
